services_id,rate_amount,service_type,rate_name,rate_category
314,92.4,Repair,Drainage,Preferential tariffs
1196,71.8,Consulting,Gas supply,Combined tariffs
1070,73.3,Consulting,Electricity supply,Standard tariffs
2158,84.3,Installation of equipment,Water supply,Discounted rates
356,98.1,Servicing,Water supply,Economy tariffs
3238,69.8,Consulting,Drainage,Tariffs for industry
610,80.9,Servicing,Electricity supply,Combined tariffs
770,92.7,Servicing,Electricity supply,Standard tariffs
1272,97.6,Installation of equipment,Water supply,Standard tariffs
10,68.3,Servicing,Electricity supply,Combined tariffs
910,99.1,Consulting,Electricity supply,Combined tariffs
2345,54.7,Energy supply,Drainage,Economy tariffs
1182,91.2,Consulting,Gas supply,Tariffs for industry
480,78.0,Servicing,Electricity supply,Standard tariffs
904,82.0,Energy supply,Heating,Preferential tariffs
1312,65.9,Consulting,Drainage,Discounted rates
1581,58.9,Energy supply,Water supply,Preferential tariffs
2171,93.5,Servicing,Heating,Discounted rates
3825,79.4,Repair,Heating,Discounted rates
3655,67.3,Repair,Gas supply,Tariffs for industry
3391,68.0,Installation of equipment,Drainage,Tariffs for industry
141,51.7,Energy supply,Heating,Preferential tariffs
1896,93.3,Consulting,Water supply,Tariffs for industry
1548,55.6,Servicing,Electricity supply,Individual tariffs
980,53.5,Repair,Drainage,Discounted rates
2529,99.0,Energy supply,Drainage,Tariffs for industry
1620,62.0,Consulting,Drainage,Economy tariffs
312,64.2,Energy supply,Electricity supply,Individual tariffs
1711,95.9,Installation of equipment,Electricity supply,Individual tariffs
187,81.8,Energy supply,Heating,Standard tariffs
3691,90.2,Energy supply,Heating,Economy tariffs
910,97.8,Consulting,Gas supply,Standard tariffs
12,65.0,Installation of equipment,Heating,Tariffs for industry
2221,92.3,Installation of equipment,Electricity supply,Standard tariffs
3457,64.8,Servicing,Heating,Individual tariffs
1776,73.5,Consulting,Drainage,Discounted rates
1649,63.8,Consulting,Water supply,Standard tariffs
3174,54.9,Repair,Electricity supply,Economy tariffs
1216,88.9,Repair,Heating,Standard tariffs
3504,75.6,Repair,Water supply,Tariffs for industry
2487,99.2,Installation of equipment,Drainage,Individual tariffs
340,76.4,Installation of equipment,Gas supply,Combined tariffs
466,54.9,Repair,Heating,Tariffs for industry
578,83.5,Repair,Electricity supply,Standard tariffs
3247,74.1,Installation of equipment,Heating,Standard tariffs
1843,63.3,Consulting,Water supply,Tariffs for industry
452,85.1,Installation of equipment,Electricity supply,Discounted rates
75,67.8,Installation of equipment,Heating,Tariffs for industry
2478,98.7,Servicing,Gas supply,Economy tariffs
1533,65.6,Servicing,Gas supply,Discounted rates
1324,58.5,Consulting,Heating,Individual tariffs
2214,79.7,Repair,Drainage,Economy tariffs
763,65.5,Consulting,Electricity supply,Preferential tariffs
1121,75.2,Installation of equipment,Gas supply,Combined tariffs
2557,99.6,Energy supply,Gas supply,Individual tariffs
1911,61.4,Consulting,Heating,Combined tariffs
263,58.6,Repair,Gas supply,Individual tariffs
956,76.7,Installation of equipment,Drainage,Combined tariffs
2230,76.2,Energy supply,Water supply,Economy tariffs
1538,58.1,Consulting,Gas supply,Tariffs for industry
892,83.3,Servicing,Water supply,Combined tariffs
3992,94.4,Servicing,Water supply,Standard tariffs
2393,54.8,Consulting,Drainage,Economy tariffs
3938,54.4,Repair,Drainage,Economy tariffs
2419,50.0,Energy supply,Heating,Individual tariffs
186,89.9,Energy supply,Electricity supply,Economy tariffs
953,55.0,Installation of equipment,Gas supply,Standard tariffs
2196,61.0,Installation of equipment,Drainage,Combined tariffs
1227,66.3,Servicing,Heating,Tariffs for industry
1449,77.3,Energy supply,Heating,Preferential tariffs
3954,95.6,Servicing,Electricity supply,Preferential tariffs
1419,53.7,Repair,Electricity supply,Preferential tariffs
3714,84.6,Consulting,Electricity supply,Tariffs for industry
269,83.5,Installation of equipment,Gas supply,Tariffs for industry
1518,95.9,Installation of equipment,Water supply,Preferential tariffs
2850,63.7,Repair,Electricity supply,Combined tariffs
3980,88.2,Servicing,Electricity supply,Economy tariffs
349,60.9,Servicing,Electricity supply,Economy tariffs
1859,86.3,Energy supply,Electricity supply,Individual tariffs
558,70.3,Consulting,Heating,Tariffs for industry
2121,71.5,Repair,Electricity supply,Standard tariffs
1720,67.7,Installation of equipment,Heating,Preferential tariffs
852,56.4,Consulting,Drainage,Standard tariffs
1863,76.0,Installation of equipment,Heating,Standard tariffs
897,53.8,Consulting,Water supply,Standard tariffs
2865,72.8,Installation of equipment,Water supply,Tariffs for industry
2423,67.7,Consulting,Electricity supply,Discounted rates
1882,53.0,Energy supply,Drainage,Preferential tariffs
2684,70.7,Installation of equipment,Gas supply,Preferential tariffs
2509,70.8,Energy supply,Water supply,Standard tariffs
2183,80.0,Consulting,Heating,Discounted rates
3915,96.3,Repair,Heating,Combined tariffs
3229,71.9,Installation of equipment,Drainage,Economy tariffs
1363,68.3,Consulting,Water supply,Combined tariffs
3649,85.0,Installation of equipment,Electricity supply,Individual tariffs
3434,53.0,Consulting,Gas supply,Standard tariffs
2623,70.3,Servicing,Drainage,Economy tariffs
3905,56.5,Repair,Water supply,Discounted rates
569,94.3,Servicing,Water supply,Preferential tariffs
804,50.8,Servicing,Water supply,Standard tariffs
3405,98.7,Energy supply,Water supply,Preferential tariffs
2736,89.9,Servicing,Heating,Individual tariffs
3461,57.5,Servicing,Water supply,Preferential tariffs
933,69.0,Consulting,Heating,Preferential tariffs
3121,68.2,Servicing,Heating,Standard tariffs
1591,90.5,Installation of equipment,Drainage,Preferential tariffs
1810,70.5,Consulting,Electricity supply,Individual tariffs
1373,90.2,Installation of equipment,Drainage,Individual tariffs
480,90.7,Repair,Gas supply,Discounted rates
238,81.8,Consulting,Gas supply,Economy tariffs
504,92.4,Servicing,Electricity supply,Combined tariffs
2170,77.2,Servicing,Heating,Discounted rates
1815,66.8,Servicing,Gas supply,Tariffs for industry
729,51.4,Installation of equipment,Electricity supply,Individual tariffs
2020,69.2,Repair,Drainage,Tariffs for industry
2425,86.4,Installation of equipment,Electricity supply,Combined tariffs
2657,98.4,Installation of equipment,Water supply,Preferential tariffs
1980,92.5,Repair,Electricity supply,Discounted rates
3084,63.8,Installation of equipment,Water supply,Discounted rates
3311,64.7,Consulting,Water supply,Preferential tariffs
3524,58.1,Consulting,Electricity supply,Discounted rates
3721,63.4,Consulting,Electricity supply,Standard tariffs
1837,73.6,Energy supply,Gas supply,Individual tariffs
2495,73.3,Consulting,Drainage,Economy tariffs
899,57.8,Installation of equipment,Gas supply,Tariffs for industry
3724,95.6,Energy supply,Drainage,Standard tariffs
2135,98.2,Repair,Water supply,Discounted rates
2496,90.4,Repair,Drainage,Economy tariffs
1965,56.6,Energy supply,Gas supply,Individual tariffs
2095,76.8,Consulting,Electricity supply,Standard tariffs
344,87.5,Repair,Gas supply,Combined tariffs
493,51.7,Energy supply,Water supply,Individual tariffs
3936,74.8,Energy supply,Electricity supply,Combined tariffs
2404,78.5,Installation of equipment,Heating,Standard tariffs
434,89.5,Repair,Gas supply,Economy tariffs
3561,80.4,Repair,Drainage,Discounted rates
722,99.2,Repair,Drainage,Tariffs for industry
1356,54.5,Repair,Drainage,Tariffs for industry
3152,50.4,Consulting,Gas supply,Individual tariffs
2190,73.5,Installation of equipment,Water supply,Preferential tariffs
2776,87.2,Installation of equipment,Heating,Combined tariffs
2913,90.0,Repair,Water supply,Individual tariffs
57,94.1,Consulting,Gas supply,Standard tariffs
3808,57.4,Installation of equipment,Gas supply,Combined tariffs
627,71.3,Energy supply,Heating,Economy tariffs
633,73.5,Consulting,Water supply,Individual tariffs
2768,66.5,Servicing,Drainage,Individual tariffs
1097,80.5,Repair,Heating,Tariffs for industry
629,81.9,Energy supply,Electricity supply,Combined tariffs
3351,83.8,Repair,Heating,Combined tariffs
2033,64.6,Repair,Electricity supply,Tariffs for industry
1218,63.9,Installation of equipment,Drainage,Economy tariffs
948,93.8,Servicing,Water supply,Standard tariffs
2646,65.3,Installation of equipment,Heating,Economy tariffs
2554,54.5,Energy supply,Drainage,Standard tariffs
741,62.7,Servicing,Gas supply,Tariffs for industry
146,87.4,Consulting,Drainage,Standard tariffs
3600,51.9,Servicing,Drainage,Discounted rates
883,51.7,Installation of equipment,Drainage,Preferential tariffs
3340,87.4,Installation of equipment,Heating,Combined tariffs
3170,56.7,Energy supply,Drainage,Standard tariffs
2799,71.0,Consulting,Drainage,Combined tariffs
192,94.8,Repair,Heating,Discounted rates
265,74.0,Installation of equipment,Drainage,Standard tariffs
3703,72.0,Installation of equipment,Water supply,Individual tariffs
231,91.1,Installation of equipment,Drainage,Individual tariffs
722,77.8,Installation of equipment,Heating,Discounted rates
256,61.7,Repair,Electricity supply,Tariffs for industry
1912,91.6,Energy supply,Gas supply,Standard tariffs
405,93.3,Servicing,Electricity supply,Individual tariffs
83,82.0,Servicing,Electricity supply,Individual tariffs
238,93.5,Servicing,Gas supply,Individual tariffs
3357,84.0,Energy supply,Water supply,Tariffs for industry
2919,69.1,Servicing,Electricity supply,Standard tariffs
3563,91.4,Servicing,Drainage,Discounted rates
3018,81.4,Repair,Gas supply,Preferential tariffs
3572,90.9,Consulting,Electricity supply,Preferential tariffs
2482,71.5,Consulting,Heating,Economy tariffs
98,74.2,Installation of equipment,Heating,Preferential tariffs
1365,98.3,Servicing,Drainage,Economy tariffs
1274,78.9,Installation of equipment,Electricity supply,Combined tariffs
1359,76.7,Energy supply,Water supply,Individual tariffs
2899,63.3,Installation of equipment,Electricity supply,Economy tariffs
773,90.5,Installation of equipment,Heating,Standard tariffs
1551,59.3,Consulting,Heating,Individual tariffs
2175,64.7,Repair,Electricity supply,Tariffs for industry
3223,57.3,Servicing,Electricity supply,Individual tariffs
1843,58.5,Servicing,Water supply,Tariffs for industry
2685,69.0,Installation of equipment,Drainage,Individual tariffs
1737,58.9,Servicing,Electricity supply,Discounted rates
2658,51.2,Energy supply,Water supply,Preferential tariffs
1199,78.1,Servicing,Electricity supply,Discounted rates
2563,59.3,Installation of equipment,Gas supply,Economy tariffs
3643,75.7,Consulting,Electricity supply,Individual tariffs
3056,81.9,Energy supply,Drainage,Standard tariffs
1817,86.4,Repair,Electricity supply,Combined tariffs
3274,60.2,Energy supply,Gas supply,Combined tariffs
1476,88.4,Energy supply,Water supply,Tariffs for industry
217,75.4,Repair,Heating,Discounted rates
3870,52.3,Consulting,Drainage,Standard tariffs
3971,66.7,Repair,Water supply,Combined tariffs
3000,88.5,Consulting,Heating,Discounted rates
1162,79.9,Repair,Electricity supply,Discounted rates
3389,93.3,Servicing,Heating,Economy tariffs
1045,58.9,Energy supply,Electricity supply,Tariffs for industry
3493,86.8,Installation of equipment,Water supply,Tariffs for industry
91,90.5,Consulting,Heating,Economy tariffs
2621,78.3,Consulting,Heating,Tariffs for industry
1534,81.0,Repair,Drainage,Economy tariffs
2376,86.0,Installation of equipment,Drainage,Combined tariffs
1283,92.6,Consulting,Water supply,Tariffs for industry
616,50.7,Energy supply,Gas supply,Preferential tariffs
298,79.4,Installation of equipment,Gas supply,Standard tariffs
3455,80.1,Energy supply,Water supply,Preferential tariffs
3274,72.9,Energy supply,Heating,Economy tariffs
1489,54.5,Consulting,Heating,Standard tariffs
2730,75.4,Consulting,Gas supply,Tariffs for industry
3108,79.2,Repair,Heating,Economy tariffs
2343,99.7,Repair,Electricity supply,Discounted rates
1375,89.7,Servicing,Drainage,Individual tariffs
2837,51.9,Energy supply,Heating,Economy tariffs
1350,64.5,Consulting,Water supply,Discounted rates
2473,64.4,Servicing,Electricity supply,Standard tariffs
671,97.2,Repair,Heating,Combined tariffs
2581,88.1,Servicing,Drainage,Standard tariffs
1386,53.8,Consulting,Gas supply,Discounted rates
2407,91.5,Energy supply,Gas supply,Combined tariffs
1809,61.0,Repair,Drainage,Discounted rates
1576,63.4,Installation of equipment,Electricity supply,Combined tariffs
339,72.5,Energy supply,Drainage,Preferential tariffs
2556,71.8,Repair,Drainage,Economy tariffs
756,82.1,Installation of equipment,Electricity supply,Tariffs for industry
926,74.7,Consulting,Gas supply,Discounted rates
765,69.8,Servicing,Drainage,Combined tariffs
792,75.4,Repair,Gas supply,Tariffs for industry
354,70.2,Repair,Heating,Individual tariffs
1610,71.3,Consulting,Drainage,Preferential tariffs
1639,69.3,Installation of equipment,Electricity supply,Discounted rates
3182,67.4,Installation of equipment,Gas supply,Tariffs for industry
2571,58.6,Energy supply,Drainage,Combined tariffs
3198,63.9,Repair,Electricity supply,Individual tariffs
3740,80.8,Servicing,Water supply,Preferential tariffs
2952,70.4,Consulting,Gas supply,Economy tariffs
2293,92.9,Servicing,Gas supply,Standard tariffs
2198,62.7,Repair,Drainage,Combined tariffs
2845,82.8,Energy supply,Heating,Combined tariffs
2470,77.0,Consulting,Electricity supply,Preferential tariffs
1279,59.5,Repair,Gas supply,Combined tariffs
341,91.9,Energy supply,Water supply,Combined tariffs
3984,53.6,Servicing,Gas supply,Combined tariffs
1797,95.3,Servicing,Heating,Standard tariffs
985,98.4,Installation of equipment,Water supply,Standard tariffs
1815,70.8,Energy supply,Electricity supply,Discounted rates
2034,85.4,Energy supply,Water supply,Standard tariffs
1008,54.6,Servicing,Heating,Standard tariffs
1007,64.4,Installation of equipment,Heating,Tariffs for industry
1945,87.9,Repair,Water supply,Individual tariffs
2248,86.0,Consulting,Gas supply,Economy tariffs
1516,88.8,Consulting,Electricity supply,Standard tariffs
1869,71.9,Consulting,Electricity supply,Standard tariffs
287,50.6,Installation of equipment,Heating,Standard tariffs
2757,66.3,Consulting,Water supply,Preferential tariffs
1462,85.6,Consulting,Electricity supply,Preferential tariffs
1696,65.8,Repair,Water supply,Standard tariffs
2450,59.9,Installation of equipment,Gas supply,Individual tariffs
154,92.2,Installation of equipment,Electricity supply,Standard tariffs
2132,69.5,Energy supply,Heating,Tariffs for industry
1106,53.8,Energy supply,Heating,Preferential tariffs
1077,98.4,Servicing,Electricity supply,Preferential tariffs
2851,71.0,Servicing,Water supply,Combined tariffs
2419,81.7,Repair,Electricity supply,Individual tariffs
3198,60.2,Installation of equipment,Water supply,Discounted rates
3194,66.1,Servicing,Gas supply,Tariffs for industry
1829,83.8,Consulting,Drainage,Individual tariffs
2647,82.6,Consulting,Heating,Preferential tariffs
471,65.6,Installation of equipment,Water supply,Standard tariffs
2757,95.7,Installation of equipment,Heating,Preferential tariffs
3339,65.5,Installation of equipment,Water supply,Economy tariffs
1312,95.6,Energy supply,Heating,Tariffs for industry
2618,61.5,Energy supply,Heating,Individual tariffs
383,95.2,Consulting,Heating,Individual tariffs
775,58.8,Installation of equipment,Water supply,Individual tariffs
2135,77.6,Energy supply,Water supply,Economy tariffs
3166,58.8,Energy supply,Water supply,Tariffs for industry
829,59.0,Repair,Gas supply,Tariffs for industry
1718,52.4,Installation of equipment,Gas supply,Standard tariffs
2453,73.6,Repair,Electricity supply,Preferential tariffs
1605,67.1,Servicing,Electricity supply,Tariffs for industry
2296,95.2,Servicing,Electricity supply,Combined tariffs
542,53.3,Servicing,Heating,Economy tariffs
3516,81.6,Servicing,Gas supply,Standard tariffs
3158,78.8,Installation of equipment,Heating,Preferential tariffs
1064,74.7,Installation of equipment,Drainage,Combined tariffs
3124,57.8,Servicing,Drainage,Preferential tariffs
599,93.7,Energy supply,Drainage,Preferential tariffs
2095,85.6,Repair,Gas supply,Standard tariffs
37,73.2,Consulting,Electricity supply,Economy tariffs
2997,97.3,Servicing,Drainage,Combined tariffs
1722,64.8,Repair,Heating,Preferential tariffs
891,90.5,Installation of equipment,Electricity supply,Discounted rates
3762,62.5,Energy supply,Drainage,Tariffs for industry
778,52.4,Energy supply,Electricity supply,Discounted rates
1191,98.8,Consulting,Drainage,Preferential tariffs
1189,79.6,Repair,Water supply,Combined tariffs
3431,84.0,Installation of equipment,Drainage,Standard tariffs
1868,72.7,Energy supply,Electricity supply,Discounted rates
3295,57.2,Servicing,Heating,Individual tariffs
2632,72.2,Installation of equipment,Electricity supply,Combined tariffs
1180,64.0,Servicing,Water supply,Tariffs for industry
2409,63.9,Repair,Water supply,Tariffs for industry
918,99.9,Installation of equipment,Drainage,Standard tariffs
1637,93.3,Servicing,Heating,Combined tariffs
2963,99.7,Servicing,Drainage,Discounted rates
1613,66.9,Installation of equipment,Gas supply,Tariffs for industry
3228,59.7,Installation of equipment,Gas supply,Economy tariffs
1539,71.1,Consulting,Drainage,Economy tariffs
2461,83.0,Energy supply,Gas supply,Standard tariffs
2670,61.8,Installation of equipment,Water supply,Tariffs for industry
1206,56.3,Servicing,Drainage,Individual tariffs
601,95.8,Installation of equipment,Drainage,Tariffs for industry
1159,82.4,Consulting,Drainage,Economy tariffs
2996,83.3,Consulting,Gas supply,Economy tariffs
2593,58.3,Consulting,Water supply,Individual tariffs
2158,66.4,Repair,Gas supply,Standard tariffs
1821,51.5,Servicing,Gas supply,Economy tariffs
1369,85.5,Installation of equipment,Water supply,Individual tariffs
3049,79.8,Repair,Heating,Standard tariffs
920,55.0,Repair,Gas supply,Individual tariffs
1611,56.0,Repair,Electricity supply,Standard tariffs
494,87.8,Consulting,Drainage,Standard tariffs
163,80.4,Energy supply,Heating,Economy tariffs
706,67.5,Consulting,Heating,Preferential tariffs
1602,98.5,Installation of equipment,Gas supply,Standard tariffs
1386,76.6,Installation of equipment,Drainage,Individual tariffs
855,88.8,Repair,Gas supply,Standard tariffs
1118,69.2,Installation of equipment,Gas supply,Standard tariffs
1887,71.3,Consulting,Drainage,Discounted rates
531,67.9,Energy supply,Drainage,Discounted rates
547,95.7,Energy supply,Water supply,Economy tariffs
1875,63.1,Repair,Gas supply,Standard tariffs
2156,78.2,Energy supply,Gas supply,Standard tariffs
2133,96.4,Energy supply,Water supply,Standard tariffs
991,70.9,Servicing,Heating,Economy tariffs
388,87.3,Installation of equipment,Electricity supply,Tariffs for industry
753,78.1,Repair,Drainage,Discounted rates
2293,75.0,Installation of equipment,Heating,Individual tariffs
2429,82.0,Consulting,Gas supply,Combined tariffs
3845,99.7,Servicing,Electricity supply,Economy tariffs
1537,88.0,Repair,Heating,Discounted rates
724,52.8,Installation of equipment,Heating,Standard tariffs
2553,90.5,Repair,Drainage,Preferential tariffs
393,60.7,Consulting,Gas supply,Preferential tariffs
2610,52.2,Servicing,Drainage,Discounted rates
595,54.3,Energy supply,Water supply,Standard tariffs
3711,87.5,Installation of equipment,Electricity supply,Discounted rates
3675,62.8,Installation of equipment,Heating,Standard tariffs
1797,83.5,Consulting,Gas supply,Individual tariffs
2702,63.9,Servicing,Electricity supply,Economy tariffs
374,96.0,Consulting,Gas supply,Standard tariffs
930,88.8,Servicing,Heating,Standard tariffs
785,70.9,Consulting,Drainage,Combined tariffs
2658,70.7,Energy supply,Heating,Combined tariffs
3877,56.6,Energy supply,Drainage,Standard tariffs
1633,55.8,Servicing,Heating,Individual tariffs
1584,62.1,Consulting,Water supply,Economy tariffs
1525,92.3,Repair,Water supply,Combined tariffs
1159,60.6,Installation of equipment,Gas supply,Individual tariffs
693,99.4,Consulting,Electricity supply,Tariffs for industry
2767,53.5,Repair,Heating,Individual tariffs
2322,89.3,Repair,Water supply,Standard tariffs
2882,98.2,Repair,Electricity supply,Individual tariffs
3661,59.3,Consulting,Heating,Economy tariffs
2878,81.6,Consulting,Gas supply,Standard tariffs
3289,79.6,Consulting,Electricity supply,Tariffs for industry
1802,55.9,Consulting,Heating,Discounted rates
3253,76.6,Servicing,Heating,Combined tariffs
6,89.5,Installation of equipment,Heating,Tariffs for industry
300,51.7,Installation of equipment,Heating,Economy tariffs
3088,64.1,Consulting,Heating,Combined tariffs
3049,86.5,Servicing,Heating,Preferential tariffs
3810,96.8,Installation of equipment,Gas supply,Individual tariffs
2038,79.9,Energy supply,Gas supply,Standard tariffs
1414,82.8,Repair,Electricity supply,Standard tariffs
750,77.4,Servicing,Electricity supply,Discounted rates
2877,61.9,Consulting,Electricity supply,Individual tariffs
3355,96.5,Installation of equipment,Heating,Preferential tariffs
1162,64.6,Repair,Gas supply,Individual tariffs
729,76.9,Energy supply,Drainage,Standard tariffs
3361,77.6,Servicing,Gas supply,Combined tariffs
2654,95.6,Installation of equipment,Drainage,Discounted rates
3783,75.7,Installation of equipment,Drainage,Combined tariffs
406,88.5,Installation of equipment,Heating,Tariffs for industry
3941,54.8,Repair,Heating,Preferential tariffs
2410,81.2,Installation of equipment,Gas supply,Individual tariffs
3841,76.4,Installation of equipment,Electricity supply,Combined tariffs
658,70.2,Installation of equipment,Heating,Discounted rates
3218,59.2,Consulting,Water supply,Tariffs for industry
3943,66.5,Installation of equipment,Electricity supply,Individual tariffs
3465,70.2,Installation of equipment,Electricity supply,Standard tariffs
3268,90.6,Consulting,Electricity supply,Preferential tariffs
1779,57.5,Consulting,Heating,Tariffs for industry
3463,96.6,Repair,Electricity supply,Individual tariffs
325,74.0,Consulting,Water supply,Discounted rates
618,96.3,Energy supply,Drainage,Combined tariffs
1726,54.8,Servicing,Water supply,Combined tariffs
1391,86.1,Servicing,Heating,Standard tariffs
1980,52.7,Repair,Water supply,Preferential tariffs
2396,72.8,Installation of equipment,Electricity supply,Economy tariffs
1469,75.2,Servicing,Drainage,Combined tariffs
3442,96.2,Installation of equipment,Water supply,Standard tariffs
660,82.5,Consulting,Electricity supply,Preferential tariffs
2607,53.5,Servicing,Heating,Standard tariffs
2263,51.6,Repair,Water supply,Economy tariffs
3874,80.6,Repair,Water supply,Combined tariffs
1504,59.9,Consulting,Heating,Discounted rates
121,71.1,Servicing,Heating,Combined tariffs
1110,97.1,Energy supply,Drainage,Individual tariffs
784,73.5,Energy supply,Electricity supply,Tariffs for industry
1517,75.9,Energy supply,Heating,Tariffs for industry
3373,90.5,Servicing,Drainage,Standard tariffs
3384,85.3,Energy supply,Electricity supply,Discounted rates
2277,86.6,Installation of equipment,Gas supply,Preferential tariffs
2609,77.1,Consulting,Gas supply,Discounted rates
2411,55.8,Servicing,Gas supply,Tariffs for industry
2892,96.0,Energy supply,Drainage,Combined tariffs
371,96.0,Consulting,Heating,Economy tariffs
1391,83.5,Repair,Gas supply,Preferential tariffs
456,58.5,Energy supply,Drainage,Combined tariffs
1053,72.7,Repair,Drainage,Combined tariffs
616,96.5,Installation of equipment,Gas supply,Tariffs for industry
1778,80.6,Servicing,Electricity supply,Preferential tariffs
803,85.8,Installation of equipment,Heating,Individual tariffs
3042,98.3,Servicing,Electricity supply,Combined tariffs
2297,51.1,Repair,Drainage,Individual tariffs
636,96.2,Energy supply,Electricity supply,Tariffs for industry
3144,95.0,Installation of equipment,Water supply,Tariffs for industry
1497,65.7,Installation of equipment,Gas supply,Economy tariffs
1935,86.7,Servicing,Heating,Standard tariffs
1483,58.5,Consulting,Drainage,Combined tariffs
1655,52.5,Servicing,Gas supply,Combined tariffs
3788,69.5,Consulting,Water supply,Preferential tariffs
896,66.0,Repair,Heating,Tariffs for industry
697,89.6,Consulting,Heating,Economy tariffs
2966,98.5,Energy supply,Gas supply,Individual tariffs
703,98.4,Consulting,Electricity supply,Individual tariffs
1448,92.2,Installation of equipment,Water supply,Combined tariffs
279,55.9,Servicing,Electricity supply,Individual tariffs
704,89.4,Repair,Heating,Tariffs for industry
3717,89.5,Consulting,Drainage,Combined tariffs
2910,58.0,Installation of equipment,Electricity supply,Standard tariffs
1733,92.0,Servicing,Electricity supply,Tariffs for industry
1190,56.9,Energy supply,Water supply,Preferential tariffs
2625,57.0,Energy supply,Drainage,Tariffs for industry
1720,79.9,Consulting,Water supply,Preferential tariffs
3353,54.6,Servicing,Drainage,Standard tariffs
3576,61.3,Installation of equipment,Gas supply,Individual tariffs
2267,80.1,Energy supply,Electricity supply,Combined tariffs
663,83.9,Servicing,Gas supply,Combined tariffs
1423,63.9,Consulting,Water supply,Discounted rates
1901,77.9,Repair,Electricity supply,Preferential tariffs
567,94.6,Servicing,Drainage,Economy tariffs
449,83.5,Servicing,Water supply,Individual tariffs
1256,65.0,Repair,Water supply,Combined tariffs
514,71.0,Consulting,Heating,Standard tariffs
1958,63.3,Repair,Drainage,Preferential tariffs
544,99.6,Energy supply,Drainage,Economy tariffs
848,84.5,Consulting,Heating,Preferential tariffs
2382,69.2,Installation of equipment,Heating,Individual tariffs
699,90.4,Repair,Gas supply,Tariffs for industry
3558,73.9,Servicing,Drainage,Economy tariffs
383,90.7,Installation of equipment,Gas supply,Preferential tariffs
3656,70.5,Repair,Gas supply,Preferential tariffs
1517,64.8,Repair,Gas supply,Tariffs for industry
438,65.9,Consulting,Drainage,Discounted rates
414,53.1,Energy supply,Electricity supply,Preferential tariffs
1108,79.3,Consulting,Electricity supply,Tariffs for industry
1826,97.2,Consulting,Drainage,Economy tariffs
3974,68.6,Energy supply,Drainage,Discounted rates
3895,59.0,Servicing,Water supply,Tariffs for industry
629,76.4,Installation of equipment,Water supply,Standard tariffs
1056,51.3,Servicing,Heating,Preferential tariffs
2696,52.9,Repair,Drainage,Individual tariffs
2795,70.8,Installation of equipment,Gas supply,Preferential tariffs
3781,96.5,Consulting,Heating,Discounted rates
1999,82.7,Consulting,Gas supply,Discounted rates
2400,61.7,Consulting,Gas supply,Preferential tariffs
3451,92.9,Installation of equipment,Water supply,Economy tariffs
2,55.4,Installation of equipment,Electricity supply,Economy tariffs
1164,64.4,Repair,Gas supply,Tariffs for industry
3670,76.7,Consulting,Heating,Tariffs for industry
2594,71.5,Energy supply,Drainage,Economy tariffs
958,76.6,Installation of equipment,Electricity supply,Tariffs for industry
1428,58.5,Energy supply,Heating,Economy tariffs
1079,54.8,Consulting,Water supply,Standard tariffs
3573,95.8,Installation of equipment,Drainage,Tariffs for industry
3205,59.6,Installation of equipment,Gas supply,Preferential tariffs
730,92.7,Repair,Heating,Economy tariffs
1104,51.3,Installation of equipment,Electricity supply,Tariffs for industry
3917,65.8,Energy supply,Electricity supply,Discounted rates
1056,85.5,Energy supply,Electricity supply,Individual tariffs
3178,96.9,Installation of equipment,Gas supply,Standard tariffs
1458,66.9,Repair,Electricity supply,Economy tariffs
3030,89.1,Consulting,Drainage,Economy tariffs
521,50.7,Installation of equipment,Water supply,Individual tariffs
1578,50.9,Installation of equipment,Water supply,Preferential tariffs
2329,95.3,Installation of equipment,Heating,Combined tariffs
1264,90.7,Servicing,Gas supply,Discounted rates
1283,77.0,Repair,Water supply,Combined tariffs
2561,74.0,Servicing,Drainage,Individual tariffs
104,99.4,Consulting,Water supply,Standard tariffs
2529,84.6,Energy supply,Heating,Preferential tariffs
778,50.0,Energy supply,Electricity supply,Preferential tariffs
50,96.5,Repair,Water supply,Tariffs for industry
2842,54.5,Installation of equipment,Water supply,Standard tariffs
2007,81.9,Servicing,Gas supply,Economy tariffs
736,62.5,Installation of equipment,Gas supply,Standard tariffs
3030,58.6,Servicing,Gas supply,Economy tariffs
2442,59.2,Consulting,Electricity supply,Discounted rates
3861,76.5,Energy supply,Electricity supply,Tariffs for industry
2859,55.6,Energy supply,Water supply,Tariffs for industry
2098,52.3,Repair,Water supply,Economy tariffs
3483,99.4,Repair,Heating,Individual tariffs
2147,80.8,Consulting,Water supply,Individual tariffs
835,59.2,Servicing,Heating,Discounted rates
3233,74.0,Repair,Electricity supply,Preferential tariffs
3226,51.6,Servicing,Drainage,Preferential tariffs
3334,96.0,Installation of equipment,Heating,Combined tariffs
3866,99.9,Consulting,Electricity supply,Preferential tariffs
3912,83.6,Consulting,Water supply,Economy tariffs
446,93.6,Repair,Drainage,Standard tariffs
804,87.6,Installation of equipment,Gas supply,Standard tariffs
740,76.4,Repair,Gas supply,Standard tariffs
3673,54.6,Energy supply,Electricity supply,Standard tariffs
2693,96.5,Installation of equipment,Gas supply,Standard tariffs
2171,96.8,Consulting,Electricity supply,Combined tariffs
2729,70.2,Consulting,Electricity supply,Tariffs for industry
279,95.8,Servicing,Drainage,Tariffs for industry
